docid	Relevance	Query
d00	1.00	Query 1
d01	0.98	Query 1
d02	0.96	Query 1
d03	0.94	Query 1
d04	0.92	Query 1
d05	0.90	Query 1
d06	0.88	Query 1
d07	0.86	Query 1
d08	0.84	Query 1
d09	0.82	Query 1
d10	0.80	Query 1
d11	0.78	Query 1
d12	0.76	Query 1
d13	0.74	Query 1
d14	0.72	Query 1
d15	0.70	Query 1
d16	0.68	Query 1
d17	0.66	Query 1
d18	0.64	Query 1
d19	0.62	Query 1
d20	0.60	Query 1
d21	0.58	Query 1
d22	0.56	Query 1
d23	0.54	Query 1
d24	0.52	Query 1
d25	0.50	Query 1
d26	0.48	Query 1
d27	0.46	Query 1
d28	0.44	Query 1
d29	0.42	Query 1
d00	1.00	Query 2
d01	0.98	Query 2
d02	0.95	Query 2
d03	0.91	Query 2
d04	0.86	Query 2
d05	0.80	Query 2
d06	0.73	Query 2
d07	0.65	Query 2
d08	0.56	Query 2
d09	0.46	Query 2
d10	0.36	Query 2
d11	0.27	Query 2
d12	0.19	Query 2
d13	0.12	Query 2
d14	0.07	Query 2
d15	0.06	Query 2
d16	0.06	Query 2
d17	0.06	Query 2
d18	0.06	Query 2
d19	0.06	Query 2
d20	0.06	Query 2
d21	0.06	Query 2
d22	0.06	Query 2
d23	0.06	Query 2
d24	0.06	Query 2
d25	0.06	Query 2
d26	0.06	Query 2
d27	0.06	Query 2
d28	0.06	Query 2
d29	0.06	Query 2
d00	0.99	Query 3
d01	0.98	Query 3
d02	0.97	Query 3
d03	0.96	Query 3
d04	0.95	Query 3
d05	0.80	Query 3
d06	0.79	Query 3
d07	0.78	Query 3
d08	0.77	Query 3
d09	0.77	Query 3
d10	0.76	Query 3
d11	0.75	Query 3
d12	0.60	Query 3
d13	0.59	Query 3
d14	0.58	Query 3
d15	0.57	Query 3
d16	0.56	Query 3
d17	0.55	Query 3
d18	0.40	Query 3
d19	0.39	Query 3
d20	0.38	Query 3
d21	0.37	Query 3
d22	0.36	Query 3
d23	0.35	Query 3
d24	0.20	Query 3
d25	0.19	Query 3
d26	0.18	Query 3
d27	0.17	Query 3
d28	0.16	Query 3
d29	0.15	Query 3
